Line Number,Word 1,Word 2,Rhyme Type
2003,be,degree,M
2005,conclusioun,palamoun,F
2007,bitwene,grene,M
2009,desires,fires,F
2011,office,accomplice,F
2013,hewe,rewe,M
2015,brenne,renne,M
2017,comandement,ysent,M
2019,spradde,hadde,M
2021,arcite,white,M
2023,grene,kene,M
2025,beere,heere,M
2027,alle,halle,M
2029,soun,palamoun,M
2031,heeres,teeres,F
2033,emelye,compaignye,M
2035,be,degree,M
2037,brynge,gliterynge,F
2039,arcite,white,M
2041,sheeld,heeld,M
2043,turkeys,harneys,M
2045,cheere,heere,M
2047,were,beere,M
2049,wete,strete,M
2051,hye,ywrye,M
2053,egeus,theseus,F
2055,fyn,wyn,M
2057,compaignye,emelye,M
2059,gyse,servyse,M
2061,apparaillynge,fyr-makynge,F
2063,raughte,straughte,M
2065,brode,lode,M
2067,highte,highte,M
2069,popler,laurer,M
2071,whippeltree,me,M
2073,doun,habitacioun,M
2075,pees,amadrides,M
2077,alle,falle,M
2079,light,bright,M
2081,stree,thre,M
2083,spicerye,perrye,F
2085,flour,odour,M
2087,this,is,M
2089,gyse,servyse,M
2091,fyr,desir,M
2093,caste,faste,M
2095,spere,were,M
2097,blood,wood,M
2099,route,aboute,M
2101,shoutynge,claterynge,F
2103,crye,emelye,M
2105,colde,yholde,M
2107,pleye,seye,M
2109,enoynt,disjoynt,M
2111,goon,doon,M
2113,wende,ende,M
2115,yeres,teres,M
2117,assent,parlement,M
2119,caas,was,M
2121,alliaunce,obeisaunce,F
2123,anon,palamon,F
2125,why,sorwefully,M
2127,hye,emelye,M
2129,place,space,M
2131,brest,lest,M
2133,stille,wille,M
2135,above,love,M
2137,entente,mente,M
2139,bond,lond,M
2141,flee,he,M
2143,adoun,duracioun,F
2145,place,pace,M
2147,abregge,allegge,F
2149,experience,sentence,F
2151,discerne,eterne,M
2153,fool,hool,M
2155,bigynnyng,thyng,M
2157,stable,corrumpable,F
2159,purveiaunce,ordinaunce,F
2161,progressiouns,successiouns,F
2163,lye,ye,M
2165,norisshynge,sprynge,F
2167,see,tree,M
